ID,EMOJIREVEALER,KEY,EMOJICODE
Aatrox,\:Aatrox:,266,<:Aatrox:915338128296902666>
Ahri,\:Ahri:,103,<:Ahri:915338127755862147>
Akali,\:Akali:,84,<:Akali:915338128166912031>
Akshan,\:Akshan:,166,<:Akshan:915338128259158027>
Alistar,\:Alistar:,12,<:Alistar:915338128166895636>
Amumu,\:Amumu:,32,<:Amumu:915338128183660674>
Anivia,\:Anivia:,34,<:Anivia:915338128280125501>
Annie,\:Annie:,1,<:Annie:915338128284323850>
Aphelios,\:Aphelios:,523,<:Aphelios:915338128506642462>
Ashe,\:Ashe:,22,<:Ashe:915338128254971924>
AurelionSol,\:AurelionSol:,136,<:AurelionSol:915338128280145981>
Azir,\:Azir:,268,<:Azir:915338129425178655>
Bard,\:Bard:,432,<:Bard:915338129420988456>
Blitzcrank,\:Blitzcrank:,53,<:Blitzcrank:915338128422760498>
Brand,\:Brand:,63,<:Brand:915338128489844867>
Braum,\:Braum:,201,<:Braum:915338129429381190>
Caitlyn,\:Caitlyn:,51,<:Caitlyn:915338129609744425>
Camille,\:Camille:,164,<:Camille:915338128645062676>
Cassiopeia,\:Cassiopeia:,69,<:Cassiopeia:915338128594718730>
Chogath,\:Chogath:,31,<:Chogath:915338129567793193>
Corki,\:Corki:,42,<:Corki:915338128296910909>
Darius,\:Darius:,122,<:Darius:915338129244815392>
Diana,\:Diana:,131,<:Diana:915338128632467507>
Draven,\:Draven:,119,<:Draven:915338129622306906>
DrMundo,\:DrMundo:,36,<:DrMundo:915338129634893824>
Ekko,\:Ekko:,245,<:Ekko:915338129546838076>
Elise,\:Elise:,60,<:Elise:915338128837984306>
Evelynn,\:Evelynn:,28,<:Evelynn:915338129592942592>
Ezreal,\:Ezreal:,81,<:Ezreal:915338129626525736>
Fiddlesticks,\:Fiddlesticks:,9,<:Fiddlesticks:915338129223847977>
Fiora,\:Fiora:,114,<:Fiora:915338128917663784>
Fizz,\:Fizz:,105,<:Fizz:915338129081270333>
Galio,\:Galio:,3,<:Galio:915338129584562196>
Gangplank,\:Gangplank:,41,<:Gangplank:915338129697804318>
Garen,\:Garen:,86,<:Garen:915338129341288459>
Gnar,\:Gnar:,150,<:Gnar:915338129412620298>
Gragas,\:Gragas:,79,<:Gragas:915338129609724004>
Graves,\:Graves:,104,<:Graves:915338129597153280>
Gwen,\:Gwen:,887,<:Gwen:915338129769111572>
Hecarim,\:Hecarim:,120,<:Hecarim:915338129597161502>
Heimerdinger,\:Heimerdinger:,74,<:Heimerdinger:915343874187223113>
Illaoi,\:Illaoi:,420,<:Illaoi:915338129681047582>
Irelia,\:Irelia:,39,<:Irelia:915338129811071037>
Ivern,\:Ivern:,427,<:Ivern:915338129148375051>
Janna,\:Janna:,40,<:Janna:915338129026744381>
JarvanIV,\:JarvanIV:,59,<:JarvanIV:915338129752338504>
Jax,\:Jax:,24,<:Jax:915338129702027284>
Jayce,\:Jayce:,126,<:Jayce:915338129500667964>
Jhin,\:Jhin:,202,<:Jhin:915338129492279407>
Jinx,\:Jinx:,222,<:Jinx:915338129420984331>
Kaisa,\:Kaisa:,145,<:Kaisa:915338761691332658>
Kalista,\:Kalista:,429,<:Kalista:915338767391416351>
Karma,\:Karma:,43,<:Karma:915338767995396117>
Karthus,\:Karthus:,30,<:Karthus:915338768288993290>
Kassadin,\:Kassadin:,38,<:Kassadin:915338768289005599>
Katarina,\:Katarina:,55,<:Katarina:915338768259633162>
Kayle,\:Kayle:,10,<:Kayle:915338767982788670>
Kayn,\:Kayn:,141,<:Kayn:915338768255438848>
Kennen,\:Kennen:,85,<:Kennen:915338768259625041>
Khazix,\:Khazix:,121,<:Khazix:915338768339329064>
Kindred,\:Kindred:,203,<:Kindred:915338768616128522>
Kled,\:Kled:,240,<:Kled:915338768532267048>
KogMaw,\:KogMaw:,96,<:KogMaw:915338768498708550>
Leblanc,\:Leblanc:,7,<:Leblanc:915338768247029801>
LeeSin,\:LeeSin:,64,<:LeeSin:915338768423194675>
Leona,\:Leona:,89,<:Leona:915338768234467330>
Lillia,\:Lillia:,876,<:Lillia:915338768720994324>
Lissandra,\:Lissandra:,127,<:Lissandra:915338768729374720>
Lucian,\:Lucian:,236,<:Lucian:915338768825872414>
Lulu,\:Lulu:,117,<:Lulu:915338768771317832>
Lux,\:Lux:,99,<:Lux:915338768897146910>
Malphite,\:Malphite:,54,<:Malphite:915338768851026010>
Malzahar,\:Malzahar:,90,<:Malzahar:915338768842649670>
Maokai,\:Maokai:,57,<:Maokai:915338769014591548>
MasterYi,\:MasterYi:,11,<:MasterYi:915338768960090153>
MissFortune,\:MissFortune:,21,<:MissFortune:915338768561627137>
MonkeyKing,\:MonkeyKing:,62,<:MonkeyKing:915338768964276334>
Mordekaiser,\:Mordekaiser:,82,<:Mordekaiser:915338769052352573>
Morgana,\:Morgana:,25,<:Morgana:915338769006223370>
Nami,\:Nami:,267,<:Nami:915338769165615144>
Nasus,\:Nasus:,75,<:Nasus:915338769429835776>
Nautilus,\:Nautilus:,111,<:Nautilus:915338768972648449>
Neeko,\:Neeko:,518,<:Neeko:915338769178198117>
Nidalee,\:Nidalee:,76,<:Nidalee:915338769270472784>
Nocturne,\:Nocturne:,56,<:Nocturne:915338768838434877>
Nunu,\:Nunu:,20,<:Nunu:915338768892960800>
Olaf,\:Olaf:,2,<:Olaf:915338769274662973>
Orianna,\:Orianna:,61,<:Orianna:915338767060041740>
Ornn,\:Ornn:,516,<:Ornn:915338769350144060>
Pantheon,\:Pantheon:,80,<:Pantheon:915338769471766578>
Poppy,\:Poppy:,78,<:Poppy:915338769438220358>
Pyke,\:Pyke:,555,<:Pyke:915338769111076905>
Qiyana,\:Qiyana:,246,<:Qiyana:915338769429823539>
Quinn,\:Quinn:,133,<:Quinn:915338769593401454>
Rakan,\:Rakan:,497,<:Rakan:915338769622794250>
Rammus,\:Rammus:,33,<:Rammus:915338769425641523>
RekSai,\:RekSai:,421,<:RekSai:915338769597607957>
Rell,\:Rell:,526,<:Rell:915338769694076928>
Renekton,\:Renekton:,58,<:Renekton:915343892109488218>
Rengar,\:Rengar:,107,<:Rengar:915338769585045564>
Riven,\:Riven:,92,<:Riven:915339029724164106>
Rumble,\:Rumble:,68,<:Rumble:915339029946433636>
Ryze,\:Ryze:,13,<:Ryze:915339030995038208>
Samira,\:Samira:,360,<:Samira:915339032794398791>
Sejuani,\:Sejuani:,113,<:Sejuani:915339033750671440>
Senna,\:Senna:,235,<:Senna:915339033746473000>
Seraphine,\:Seraphine:,147,<:Seraphine:915339033821974588>
Sett,\:Sett:,875,<:Sett:915339034006532136>
Shaco,\:Shaco:,35,<:Shaco:915339033511620699>
Shen,\:Shen:,98,<:Shen:915339033759076362>
Shyvana,\:Shyvana:,102,<:Shyvana:915339033742303252>
Singed,\:Singed:,27,<:Singed:915339033780039720>
Sion,\:Sion:,14,<:Sion:915339033905877002>
Sivir,\:Sivir:,15,<:Sivir:915339033780052038>
Skarner,\:Skarner:,72,<:Skarner:915339033935237150>
Sona,\:Sona:,37,<:Sona:915339033880715364>
Soraka,\:Soraka:,16,<:Soraka:915339033922662491>
Swain,\:Swain:,50,<:Swain:915339033801027585>
Sylas,\:Sylas:,517,<:Sylas:915339033926828032>
Syndra,\:Syndra:,134,<:Syndra:915339033922666536>
