ID,EMOJIREVEALER,EMOJICODE,KEY
SummonerBarrier,\:SummonerBarrier:,<:SummonerBarrier:915422025047220264>,21
SummonerBoost,\:SummonerBoost:,<:SummonerBoost:915422025093369896>,1
SummonerDot,\:SummonerDot:,<:SummonerDot:915422025131098152>,14
SummonerExhaust,\:SummonerExhaust:,<:SummonerExhaust:915422024908828733>,3
SummonerFlash,\:SummonerFlash:,<:SummonerFlash:915422025051435019>,4
SummonerHaste,\:SummonerHaste:,<:SummonerHaste:915422025143701554>,6
SummonerHeal,\:SummonerHeal:,<:SummonerHeal:915422024883658873>,7
SummonerMana,\:SummonerMana:,<:SummonerMana:915422025185644554>,13
SummonerPoroRecall,\:SummonerPoroRecall:,<:SummonerPoroRecall:915422025315676182>,30
SummonerPoroThrow,\:SummonerPoroThrow:,<:SummonerPoroThrow:915422025206603776>,31
SummonerSmite,\:SummonerSmite:,<:SummonerSmite:915422025185648720>,11
SummonerSnowURFSnowball_Mark,\:SummonerSnowURFSnowball_Mark:,<:SummonerSnowURFSnowball_Mark:915422025047240765>,39
SummonerSnowball,\:SummonerSnowball:,<:SummonerSnowball:915422025202405418>,32
SummonerTeleport,\:SummonerTeleport:,<:SummonerTeleport:915422025265319946>,12
Summoner_UltBookPlaceholder,\:Summoner_UltBookPlaceholder:,<:Summoner_UltBookPlaceholder:915422025080799232>,54
Summoner_UltBookSmitePlaceholder,\:Summoner_UltBookSmitePlaceholder:,<:Summoner_UltBookSmitePlaceholder:915422025097560104>,55
